ID_POSLA,VRSTA_KUPOPRODAJNEGA_POSLA,DATUM_UVELJAVITVE,DATUM_SKLENITVE_POGODBE,POGODBENA_CENA_ODSKODNINA,VKLJUCENOST_DDV,STOPNJA_DDV,DATUM_IZTEKA_LIZINGA,DATUM_PRENEHANJA_LIZINGA,OPOMBE_O_PRAVNEM_POSLU,POSREDOVANJE_NEPREMICNINSKE_AGENCIJE,DATUM_ZADNJE_SPREMEMBE_POSLA,DATUM_ZADNJE_UVELJAVITVE_POSLA,VRSTA_AKTA,TRZNOST_POSLA,LETO
481709,1,10.02.2020,27.03.2019,2486,0,,,,,,05.04.2022,10.02.2020,1,3,2020
486357,1,10.03.2020,20.01.2020,81000,0,,,,,,05.04.2022,10.03.2020,1,1,2020
493936,1,10.05.2020,05.03.2020,20125,0,,,,,,05.04.2022,10.05.2020,1,1,2020
509991,1,10.10.2020,19.08.2020,90000,0,,,,,,05.04.2022,10.10.2020,1,2,2020
520377,1,11.12.2020,16.10.2020,6392.4,0,,,,,,05.04.2022,11.12.2020,1,1,2020
501597,1,10.08.2020,02.06.2020,3250,0,,,,,,05.04.2022,10.08.2020,1,1,2020
483755,3,11.02.2020,10.01.2020,230,0,,,,,,05.04.2022,11.02.2020,1,3,2020
518200,1,10.12.2020,17.08.2020,125,0,,,,,,05.04.2022,10.12.2020,1,2,2020
503192,1,11.08.2020,14.07.2020,5500,0,,,,,,05.04.2022,11.08.2020,1,2,2020
495717,1,10.06.2020,22.04.2020,4692.53,0,,,,,,05.04.2022,10.06.2020,1,3,2020
493442,1,10.05.2020,24.03.2020,136000,0,,,,,,05.04.2022,10.05.2020,1,2,2020
493051,1,10.05.2020,25.11.2019,21500,0,,,,,,05.04.2022,10.05.2020,1,3,2020
481101,1,10.02.2020,11.12.2019,85000,0,,,,,,05.04.2022,10.02.2020,1,1,2020
503825,1,11.08.2020,30.06.2020,65000,0,,,,,,05.04.2022,11.08.2020,1,2,2020
514720,1,10.11.2020,25.09.2020,85000,0,,,,,,05.04.2022,10.11.2020,1,2,2020
480341,1,04.02.2020,30.04.2019,86302.43,1,3,,,"KUPEC JE PLAČAL SAMO 10% ARE, PRIMOPREDAJA NEPREMIČNINE ŠE NI BILA IZVEDENA. SKUPNA KVADRATURA POLEG STANOVANJA ZAJEMA ŠE PARKIRNO MESTO IN SHRAMBO.",,05.04.2022,04.02.2020,1,2,2020
492976,1,10.05.2020,27.01.2020,28500,0,,,,,,05.04.2022,10.05.2020,1,2,2020
509187,1,29.09.2020,18.04.2018,390400,1,4,,,,,05.04.2022,29.09.2020,1,2,2020
483694,3,11.02.2020,25.11.2019,12000,0,,,,,,05.04.2022,11.02.2020,1,3,2020
483290,1,11.02.2020,16.01.2020,210000,0,,,,,,05.04.2022,11.02.2020,1,1,2020
510726,1,10.10.2020,07.09.2020,5500,0,,,,,,05.04.2022,10.10.2020,1,1,2020
495207,1,10.06.2020,06.04.2020,435000,0,,,,,,05.04.2022,10.06.2020,1,2,2020
505441,1,04.09.2020,17.08.2020,260000,1,3,,,,,02.06.2023,04.09.2020,1,2,2020
487160,1,10.03.2020,17.12.2019,1622,0,,,,,,05.04.2022,10.03.2020,1,3,2020
478134,1,10.01.2020,22.10.2019,9900,0,,,,,,05.04.2022,10.01.2020,1,2,2020
503272,1,11.08.2020,16.07.2020,55000,0,,,,,,05.04.2022,11.08.2020,1,2,2020
506696,1,10.09.2020,04.08.2020,163000,0,,,,,,05.04.2022,10.09.2020,1,2,2020
499492,1,20.07.2020,03.06.2020,10000,0,,,,,,05.04.2022,20.07.2020,1,3,2020
499366,1,20.07.2020,19.05.2020,3000,0,,,,,,05.04.2022,20.07.2020,1,3,2020
506319,1,10.09.2020,22.07.2020,35000,0,,,,,,10.09.2020,10.09.2020,1,5,2020
495179,1,10.06.2020,03.11.2019,35000,0,,,,,,05.04.2022,10.06.2020,1,3,2020
501198,1,10.08.2020,28.05.2020,3500,0,,,,,,05.04.2022,10.08.2020,1,1,2020
505822,1,10.09.2020,04.11.2019,10129.5,0,,,,,,05.04.2022,10.09.2020,1,2,2020
499134,1,20.07.2020,04.06.2020,58321.18,0,,,,,,02.06.2023,20.07.2020,1,2,2020
490085,1,10.04.2020,13.02.2020,67500,0,,,,,,05.04.2022,10.04.2020,1,4,2020
493930,1,10.05.2020,20.01.2020,26937.5,0,,,,,,05.04.2022,10.05.2020,1,1,2020
511234,1,10.10.2020,15.09.2020,95000,0,,,,,,05.04.2022,10.10.2020,1,2,2020
511858,1,11.10.2020,14.08.2020,5000,0,,,,,,05.04.2022,11.10.2020,1,2,2020
491642,1,11.04.2020,11.02.2020,1350,0,,,,,,05.04.2022,11.04.2020,1,1,2020
481868,1,10.02.2020,23.12.2019,3000,0,,,,,,05.04.2022,10.02.2020,1,3,2020
511085,1,10.10.2020,07.08.2020,90,0,,,,,,05.04.2022,10.10.2020,1,3,2020
511739,1,11.10.2020,17.09.2020,82522,0,,,,,,05.04.2022,11.10.2020,1,2,2020
516752,3,11.11.2020,19.10.2020,35000,0,,,,,,05.04.2022,11.11.2020,1,3,2020
503639,1,11.08.2020,08.06.2020,175608.8,0,,,,,,05.04.2022,11.08.2020,1,4,2020
503888,1,11.08.2020,21.05.2020,550,0,,,,,,05.04.2022,11.08.2020,1,3,2020
482488,1,10.02.2020,11.01.2020,35000,0,,,,,,05.04.2022,10.02.2020,1,1,2020
482540,1,11.02.2020,23.12.2019,80000,0,,,,,,05.04.2022,11.02.2020,1,1,2020
496258,1,10.06.2020,16.05.2020,63000,0,,,,,,05.04.2022,10.06.2020,1,2,2020
515468,1,11.11.2020,01.09.2020,1266.5,0,,,,,,05.04.2022,11.11.2020,1,2,2020
510599,1,10.10.2020,20.08.2020,112500,0,,,,,,05.04.2022,10.10.2020,1,2,2020
491806,1,11.04.2020,21.01.2020,12000,0,,,,,,05.04.2022,11.04.2020,1,2,2020
517473,1,01.12.2020,29.07.2019,191550,1,3,,,,,05.04.2022,01.12.2020,1,2,2020
482407,1,10.02.2020,07.11.2019,11677.13,0,,,,,,05.04.2022,10.02.2020,1,2,2020
496103,1,10.06.2020,04.03.2020,5000,0,,,,,,05.04.2022,10.06.2020,1,1,2020
514872,1,10.11.2020,25.09.2020,20000,0,,,,,,05.04.2022,10.11.2020,1,3,2020
501794,1,10.08.2020,12.06.2020,80000,0,,,,,,05.04.2022,10.08.2020,1,2,2020
477139,1,10.01.2020,27.11.2019,10910,0,,,,,,05.04.2022,10.01.2020,1,1,2020
478999,1,11.01.2020,18.12.2019,3800,0,,,,,,05.04.2022,11.01.2020,1,1,2020
478195,1,10.01.2020,25.11.2019,65000,0,,,,,,05.04.2022,10.01.2020,1,2,2020
495477,1,10.06.2020,03.04.2020,27234,0,,,,,,05.04.2022,10.06.2020,1,1,2020
497457,1,29.06.2020,04.04.2020,219500,1,3,,,,,21.04.2023,29.06.2020,1,2,2020
515375,1,11.11.2020,29.09.2020,120000,0,,,,,,05.04.2022,11.11.2020,1,2,2020
480585,1,07.02.2020,29.10.2018,104311.51,1,3,,,,,05.04.2022,07.02.2020,1,1,2020
482291,1,10.02.2020,27.11.2019,12170.3,0,,,,,,05.04.2022,10.02.2020,1,1,2020
