ID_POSLA,SIFRA_KO,IME_KO,OBCINA,STEVILKA_STAVBE,STEVILKA_DELA_STAVBE,PARCELNA_STEVILKA_ZA_GEOLOKACIJO,INTERNA_OZNAKA_DELA_STAVBE,EVIDENTIRANOST_DELA_STAVBE,NASELJE,ULICA,HISNA_STEVILKA,DODATEK_HS,STEVILKA_STANOVANJA_ALI_POSLOVNEGA_PROSTORA,VRSTA_DELA_STAVBE,LETO_IZGRADNJE_DELA_STAVBE,STAVBA_JE_DOKONCANA,GRADBENA_FAZA,NOVOGRADNJA,PRODANA_POVRSINA,PRODANI_DELEZ_DELA_STAVBE,PRODANA_POVRSINA_DELA_STAVBE,PRODANA_UPORABNA_POVRSINA_DELA_STAVBE,NADSTROPJE_DELA_STAVBE,STEVILO_ZUNANJIH_PARKIRNIH_MEST,ATRIJ,POVRSINA_ATRIJA,OPOMBE_O_NEPREMICNINI,DEJANSKA_RABA_DELA_STAVBE,LEGA_DELA_STAVBE_V_STAVBI,STEVILO_SOB,POVRSINA_DELA_STAVBE,UPORABNA_POVRSINA,PROSTORI_DELA_STAVBE,POGODBENA_CENA_DELA_STAVBE,STOPNJA_DDV_DELA_STAVBE,E_CENTROID,N_CENTROID,LETO
808564,1422,TREBNJE,TREBNJE,1667,1,,,1,,,,,,1,2023,0,3,,94.4,1/1,,,,,0,,,1 - stanovanje v enostanovanjski stavbi,pritličje,,94.4,89.4," bivalni prostor | odprta terasa, balkon, loža",,,500597.88,86021.94,2024
811117,1740,SPODNJA ŠIŠKA,LJUBLJANA,3614,445,,,1,,,,,,3,2019,1,,,13.3,1/1,,,,,0,,,16 - garažno parkirno mesto,klet,,13.5,13.5, garažni parkirni prostor,,,461185.01,102613.07,2024
813905,2560,HRPELJE,HRPELJE-KOZINA,877,163,,,1,,,,,163,4,2021,1,,0,25.9,1/1,,,,,0,,,15 - garaža,pritličje,,25.9,25.9, garaža,,,416875.03,52420.22,2024
815825,1732,ŠTEPANJA VAS,LJUBLJANA,894,133,,,1,LJUBLJANA,BILEČANSKA ULICA,2,,68,2,1978,1,,,40.9,1/1,,,,,0,,,2 - stanovanje,nadstropje,,40.9,36.8," bivalni prostor | odprta terasa, balkon, loža",,,464743.48,100916.57,2024
817027,2636,BEŽIGRAD,LJUBLJANA,3626,355,,,1,LJUBLJANA,KRŽIČEVA ULICA,3,,,3,1996,1,,,12.3,1/1,,,,,0,,,16 - garažno parkirno mesto,klet,,12.3,12.3, garažni parkirni prostor,,,462099.72,103005.67,2024
818459,502,STOPERCE,MAJŠPERK,73,1,,,1,,,,,,13,1945,1,,,99.6,1/1,,,,,0,,,28 - pomožni kmetijski del stavbe,pritličje,,99.6,99.6, kmetijski prostor,,,554178.89,127763.08,2024
818579,255,GODEMARCI,LJUTOMER,100,1,,,1,BODISLAVCI,,56,,,1,1940,1,,,88,13/98,,,,,0,,,1 - stanovanje v enostanovanjski stavbi,pritličje,,88,88, bivalni prostor,,,581207.8,152804.1,2024
808976,2595,ŠKOFIJE,KOPER,283,1,,,1,SPODNJE ŠKOFIJE,SPODNJE ŠKOFIJE,35,A,,1,1969,1,,,74,3/16,,,,,0,,,1 - stanovanje v enostanovanjski stavbi,pritličje,,74,65," bivalni prostor | odprta terasa, balkon, loža",,,405295.21,48159.45,2024
808587,974,PRELSKA,VELENJE,251,1,,,1,,,,,,13,1938,1,,,63,1/2,,,,,0,,,60 - zidanica,pritličje,,40,40, kmetijski prostor,,,515365.34,133115.43,2024
820800,1727,POLJANSKO PREDMESTJE,LJUBLJANA,1063,116,,,1,LJUBLJANA,MESARSKA CESTA,30,,116,2,2006,1,,,215.3,1/1,,,,,0,,,2 - stanovanje,nadstropje,,215.3,132.1," bivalni prostor | odprta terasa, balkon, loža | zaprta terasa, balkon, loža",,,463069.55,100949.39,2024
821447,582,ŠTRIHOVEC,ŠENTILJ,437,3,,,1,ŠENTILJ V SLOV. GORICAH,NOVA ULICA,10,,3,2,2023,1,,1,88.4,1643/10000,,,,,0,,,2 - stanovanje,nadstropje,,88.4,69.8," bivalni prostor | klet | odprta terasa, balkon, loža",,,549824.94,170933.57,2024
818291,2679,GRADIŠČE II,LJUBLJANA,517,226,,,1,LJUBLJANA,TRŽAŠKA CESTA,2,,226,5,1873,1,,,21.7,1/1,,,,,0,,,9 - poslovni del stavbe,nadstropje,,21.7,21.7, poslovni prostor,,,460778.43,100974.53,2024
819462,1737,TABOR,LJUBLJANA,122,451,,,1,LJUBLJANA,METELKOVA ULICA,11,,,3,1998,1,,,11.4,1/1,,,,,0,,,16 - garažno parkirno mesto,klet,,11.4,11.4, garažni parkirni prostor,,,462508.46,102038.44,2024
